track,track_id,artist,album,release_date,total_tracks
Happier,2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,÷ (Deluxe),2017-03-03,16
Lust,7oJrVhiTPZGBXWPwhxjy9S,Lil Skies,Life of a Dark Rose,2017-12-12,14
That’s What I Like,41845KfPUpg17FYYw0lKYg,Various Artists,"NOW That's What I Call Music, Vol. 62",2017-05-05,22
All Mine,3qnoOm4fwZPBS116f5hpgF,Kanye West,ye,2018-06-01,7
The Matrimony (feat. Usher),7vlPI45Zzzk0palLdKry4k,Wale,The Album About Nothing,2015-03-31,14
Satisfied - Instrumental,09M3cw2XFg1c3l6zcN1rXX,Original Broadway Cast of Hamilton,The Hamilton Instrumentals,2017-06-30,46
He Knows My Name,2lrHKMXyu8LTLxMorzJkTQ,Francesca Battistelli,If We're Honest (Deluxe Version),2014-04-22,16
"Aaron Burr, Sir - Instrumental",7vxD309VMF0uNJq08iM67e,Original Broadway Cast of Hamilton,The Hamilton Instrumentals,2017-06-30,46
The Schuyler Sisters - Instrumental,0hcPC3aLR44aeT269ApBHt,Original Broadway Cast of Hamilton,The Hamilton Instrumentals,2017-06-30,46
Pull Up Wit Ah Stick (feat. Loso Loaded),54VYxYYV1kGkVKYOZVzuDD,SahBabii,Pull Up Wit Ah Stick (feat. Loso Loaded),2017-04-07,1
Tru,1DFPibRb9RU3yfM3wOLdDT,Lloyd,Tru - Single,2016-05-06,1
no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,Sweetener,2018-08-17,15
You Make It Easy,2ZxTjs4EdJl4Y9YByIiNoo,Jason Aldean,You Make It Easy,2018-01-26,1
With You,3aJkV6DUTSCqOwVwaBDG9B,Drake,Views,2016-05-06,20
Summer Sixteen,17Q87zeXgsAi9iQQbMu9v0,Drake,Summer Sixteen,2016-02-05,1
Do What You Want,1VXnMGNuMCuiuuGstN4ZCj,Drake Bell,It's Only Time,2006-01-01,11
Jumpman,27GmP9AWRs744SzKcpJsTZ,Drake,What A Time To Be Alive,2015-09-20,11
Practice,0jF2AdhsalO1L7KkhK4LE5,Drake,Take Care (Deluxe),2011,19
Worst Behavior,6oF3Es1YzzmLKjGBfThUvD,Drake,Nothing Was The Same (Deluxe),2013-01-01,15
Teenage Fever,6n3HGiq4v35D6eFOSwqYuo,Drake,More Life,2017-03-18,22
Digital Dash,0GR7iJLhj80KD5LkA14ZRn,Drake,What A Time To Be Alive,2015-09-20,11
Jungle,7JXZq0JgG2zTrSOAgY8VMC,Drake,If You're Reading This It's Too Late,2015-02-12,17
Redemption,4cRBqWBjuccCowYVHFlXK6,Drake,Views,2016-05-06,20
Back To Back,5lFDtgWsjRJu8fPOAyJIAK,Drake,Back To Back,2015-07-31,1
Forever,6HSqyfGnsHYw9MmIpa9zlZ,Various Artists,More Than A Game,2009-01-01,11
Furthest Thing,6cT5orvyKqwghJp6KB9vG0,Drake,Nothing Was The Same (Deluxe),2013-01-01,15
The Language,3Qu5bTS5AvgS0TpeGhQyfc,Drake,Nothing Was The Same (Deluxe),2013-01-01,15
Know Yourself,5InOp6q2vvx0fShv3bzFLZ,Drake,If You're Reading This It's Too Late,2015-02-12,17
Fancy,3fpTMuD1u3gJlVI4FadVHs,Drake,Thank Me Later,2010-01-01,14
Crew Love,0V4l4GQhgnWQGtCWpvA7va,Drake,Take Care (Deluxe),2011,19
Right Hand,3lSR267IJfT54p0Gfuw7mi,Drake,Right Hand,2015-07-31,1
The Motto,4Kz4RdRCceaA9VgTqBhBfa,Drake,Take Care (Deluxe),2011,19
Energy,79XrkTOfV1AqySNjVlygpW,Drake,If You're Reading This It's Too Late,2015-02-12,17
The Way I Talk,2uKpzT2E2gid82Tka9xK4n,Morgan Wallen,If I Know Me,2018-04-27,14
Childs Play,3NxAG2ni1lLa8RKL6a0INc,Drake,Views,2016-05-06,20
9,1C7KSXR2GVxknex6I4ANco,Drake,Views,2016-05-06,20
Shot For Me,6Z01gUquJsjJC67uNWm6P0,Drake,Take Care (Deluxe),2011,19
Grammys,5e574bhjycX1eH2l4Auage,Drake,Views,2016-05-06,20
Marvins Room,047fCsbO4NdmwCBn8pcUXl,Drake,Take Care (Deluxe),2011,19
All Me,4kNvYhyl8R6m1vykVkcuBu,Drake,Nothing Was The Same (Deluxe),2013-01-01,15
6 God,3a8tAZFJxlmBwOtrf5L1oC,Drake,If You're Reading This It's Too Late,2015-02-12,17
Signs,6Na5uKk5SsqZimk0hAWo8y,Drake,Signs,2017-06-23,1
Find Your Love,4BycRneKmOs6MhYG9THsuX,Drake,Thank Me Later,2010-01-01,14
Too Good,3BtuIIrQlkujKPuWF2B85z,Drake,Views,2016-05-06,20
Fire & Desire,4BhGTc3Cgay2U1QcTS7vQe,Drake,Views,2016-05-06,20
"Hold On, We're Going Home",14Rcq31SafFBHNEwXrtR2B,Drake,Nothing Was The Same (Deluxe),2013-01-01,15
Dicen,4cfoVJxpHqUqTvBrG1RTyi,Matt Hunter,Dicen,2018-05-04,1
Best I Ever Had,3fyMH1t6UPeR5croea9PrR,Drake,So Far Gone,2009-01-01,7
Miss Me,1U4mweNwisxNj23ffuC9gO,Drake,Thank Me Later,2010-01-01,14
10 Bands,12d5QFwzh60IIHlsSnAvps,Drake,If You're Reading This It's Too Late,2015-02-12,17
Too Much,6kIh5c8x8vzOe6OKW1X59U,Drake,Nothing Was The Same (Deluxe),2013-01-01,15
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,Dua Lipa (Deluxe),2017-06-02,17
Hotline Bling,0wwPcA6wtMf6HUMpIRdeP7,Drake,Views,2016-05-06,20
Feel No Ways,3cjF2OFRmip8spwZYQRKxP,Drake,Views,2016-05-06,20
From Time,10VBBaul4zVD0reteuIHM2,Drake,Nothing Was The Same (Deluxe),2013-01-01,15
Nice For What,3CA9pLiwRIGtUBiMjbZmRw,Drake,Scorpion,2018-06-29,25
0 To 100 / The Catch Up,4jtyUzZm9WLc2AdaJ1dso7,Drake,0 To 100 / The Catch Up,2013-07-14,1
U With Me?,03L2AoiRbWhvt7BDMx1jUB,Drake,Views,2016-05-06,20
Blem,2XlHu0HcujBCkWMdIAvrqt,Drake,More Life,2017-03-18,22
One Dance,1zi7xx7UVEFkmKfv06H8x0,Drake,Views,2016-05-06,20
Started From The Bottom,6V2D8Lls36APk0THDjBDfE,Drake,Nothing Was The Same (Deluxe),2013-01-01,15
Up All Night,75L0qdzRnhwV62UXoNq3pE,Drake,Thank Me Later,2010-01-01,14
Hype,5NFYuqu8V6QXc6mzcLImd6,Drake,Views,2016-05-06,20
Passionfruit,5mCPDVBb16L4XQwDdbRUpz,Drake,More Life,2017-03-18,22
Still Here,4YJmZfvlheSziXem8HBWrj,Drake,Views,2016-05-13,20
Doing It Wrong,4eSGSqP2TZvvX0kadZZttM,Drake,Take Care (Deluxe),2011,19
Pop Style,5mPSyjLatqB00IkPqRlbTE,Drake,Views,2016-05-06,20
Successful,2RwFo57JjznjveEqvBuRJX,Drake,So Far Gone,2009-01-01,7
Pound Cake / Paris Morton Music 2,1HDaPtZuixue2q6VGNRdVO,Drake,Nothing Was The Same (Deluxe),2013-01-01,15
Feels,5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,Funk Wav Bounces Vol.1,2017-06-30,10
Lost Boy,4h0zU3O9R5xzuTmNO7dNDU,Ruth B.,Lost Boy,2015-08-21,1
Make You Mine,5o9LteJdhkA3ndUDz4JVfV,High Valley,Dear Life,2016-11-18,11
Be Careful,2Yl4OmDby9iitgNWZPwxkd,Cardi B,Invasion of Privacy,2018-04-06,13
Bartier Cardi (feat. 21 Savage),0dIoGTQXDh1wVnhIiSyYEa,Cardi B,Invasion of Privacy,2018-04-06,13
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,Look Alive (feat. Drake),2018-02-09,1
Bodak Yellow,6KBYefIoo7KydImq1uUQlL,Cardi B,Invasion of Privacy,2018-04-06,13
Till I Die,7rq7HvZrCie7MmiGm8pUVC,Machine Gun Kelly,General Admission,2015-10-16,16
Smoke,0ZUnRmGiWEypcw14WjW109,A Thousand Horses,Southernality,2015-06-09,13
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,beerbongs & bentleys,2018-04-27,18
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,I Like Me Better,2017-05-19,1
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,17,2017-08-25,11
El Clavo - Remix,6bI00brFpeprqCDqKouEJS,Prince Royce,El Clavo (Remix),2018-05-11,1
El Anillo,2SpfMQ5TuKsMj1trNwrLVA,Jennifer Lopez,El Anillo,2018-04-26,1
I Can Only Imagine,0lVYRIVjK77Z6uG2GgM8Kl,MercyMe,Almost There,2001,11
Plain Jane,4dVpf9jZjcORqGTLUaeYj9,A$AP Ferg,Still Striving,2017-08-18,14
El Problema,3KutIiTUAwxVUNXJKfyDpn,Cornelio Vega y su Dinastia,El Problema (feat. Adriel Favela),2017-10-13,1
Found You,4iLeL1aYGcQBsYcWIhXIUO,Kane Brown,Kane Brown (Deluxe Edition),2017-10-06,15
"Psycho, Pt. 2",26OhjtaTamFocE08t83ml6,Russ,"Psycho, Pt. 2",2016-11-08,1
Remember The Name (feat. Styles Of Beyond),6ndmKwWqMozN2tcZqzCX4K,Fort Minor,The Rising Tied,2005,16
Heaven,1HXy5I3HTWq8OvxCn0z7G7,Kane Brown,Kane Brown (Deluxe Edition),2017-10-06,15
Say My Name (feat. Zyra),1LeItUMezKA1HdCHxYICed,ODESZA,In Return,2014-09-08,13
Sun Models (feat. Madelyn Grant),7jZHUhAmW5oq1cq6s8IxmK,ODESZA,In Return,2014-09-08,13
There Goes My Everything,6oJe2ZmepeYTtsHedYwwLr,Kane Brown,Chapter 1 - EP,2016-03-25,5
By Your Side,6qdpQ6jPiaCYE9Qw4nZVuD,Tenth Avenue North,Over And Underneath,2008,11
All Night,0dXNQ8dckG4eYfEtq9zcva,The Vamps,Night & Day (Night Edition),2017-07-14,10
Crying in the Club,1SJtlNRJDeYHioymcvsqev,Camila Cabello,Crying in the Club,2017-05-18,1
Back to You (feat. Bebe Rexha & Digital Farm Animals),7F9vK8hNFMml4GtHsaXui6,Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals),2017-07-21,1
Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,Camila Cabello,Camila,2018-01-12,11
I Wonder,6bXOlIfGIWh7Tyn4oyvLQW,Kanye West,Graduation,2007-01-01,13
Flawless,6wa4KnRz7LjGeMkpIa1mAI,MercyMe,Welcome to the New,2014-04-08,10
Don’t Let Me Be Lonely,1vjx9wZEyhhM1VRmIoDiRk,The Band Perry,Pioneer,2013-01-01,12
Call Out My Name,4MPTj8lMMvxLwT3EwuXFop,The Weeknd,"My Dear Melancholy,",2018-03-30,6
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,Stoney (Deluxe),2016-12-09,18
No Option,6M0IsaUX4GNyto4niSegfI,Post Malone,Stoney (Deluxe),2016-12-09,18
Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,Rich The Kid,The World Is Yours,2018-03-30,15
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,Post Malone,beerbongs & bentleys,2018-04-27,18
Get Me Some Of That,4O1CExxinEpKZi3861NlTK,Thomas Rhett,It Goes Like This,2013-01-01,12
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,?,2018-03-16,18
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,?,2018-03-16,18
Gooey,1gk3FhAV07q9Jg77UxnVjX,Glass Animals,ZABA,2014-06-03,11
Big Rings,7jslhIiELQkgW9IHeYNOWE,Drake,What A Time To Be Alive,2015-09-20,11
Bottoms Up,477pWnF7WFWb9Qs6g8rs4J,Brantley Gilbert,Just As I Am (Platinum Edition),2015-01-01,19
Star Of The Show,63OQWdXMq0Pe6pRpWY5gO0,Thomas Rhett,Tangled Up (Deluxe),2016-10-28,18
Como Antes,5YzA563GXTuwQaRq24z1k5,Yandel,#Update,2017-09-08,14
Nunca Me Olvides,27ebni0DfbT5Owz6W42HP8,Yandel,Dangerous,2015-11-06,16
Plakito - Remix,54GBh4TNwKdj77GjMLjLH9,Yandel,Plakito (Remix),2014-09-23,1
Calentura,1DG24Lw8SIN0kjJt2AzSVK,Yandel,Calentura,2015-03-16,1
Sólo Mía,1ei3g2hMYh1VKvik9FoUQR,Yandel,#Update,2017-09-08,14
Explícale,1LszjjoVwDDZcWUQbzeDLG,Yandel,#Update,2017-09-08,14
Hable de Ti,6DtIMAd81o1bLoSRt6mBSI,Yandel,De Líder a Leyenda,2013-11-05,17
Hasta Abajo,0rRMe1LBFoq5TjmT1Jye2D,Yandel,De Líder a Leyenda,2013-11-05,17
Mi Religión,3dnOHn0A5q3ny1LLLnSAty,Yandel,#Update,2017-09-08,14
Moviendo Caderas,0bdL8X3MrX51dRz231BFtv,Yandel,De Líder a Leyenda,2013-11-05,17
Encantadora,7LABrQFfRYcZUqUwng0Heb,Yandel,Dangerous,2015-11-06,16
Muy Personal,1oNtIPC2XBWpE7A1x9YjQi,Yandel,#Update,2017-09-08,14
Sober Up,2QCndYqRherBtKjBpyySC6,AJR,The Click,2017-06-09,13
No Quiero Amores,37sexcbewtWiE8PDuLRFrY,Yandel,#Update,2017-09-08,14
Déjate Amar,4Qo0Ijy8lD53X7Ox4gKLNq,Yandel,De Líder a Leyenda,2013-11-05,17
No Sales de Mi Mente,2suE76uvhA05ks3YbvwRGT,Yandel,Dangerous,2015-11-06,16
Bohemian Rhapsody,2YSbHu9XF4bNYWt3MnIhgE,Various Artists,Suicide Squad: The Album,2016-08-05,14
WTF (Where They From) [feat. Pharrell Williams],7IAa7vUJ11STN7le8XaxsH,Missy Elliott,WTF (Where They From) [feat. Pharrell Williams],2015-11-12,1
untitled 02 | 06.23.2014.,3I0FBDc1c1BLNtXWKVjmFg,Kendrick Lamar,untitled unmastered.,2016-03-04,8
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,Woodstock,2017-06-16,10
KEKE,14PlDNjNh3pXyHXzkhX8n5,6ix9ine,Day69: Graduation Day,2018-04-10,12
"Bitch, Don’t Kill My Vibe",712uvW1Vezq8WpQi38v2L9,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",2012,17
Backseat Freestyle,3aGibUHhQyBsyumYHylw0K,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",2012,17
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,Lil Wayne,Sucker For Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),2016-06-24,1
Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,Kendrick Lamar,Swimming Pools (Drank),2012-01-01,1
King Kunta,0N3W5peJUQtI4eyR6GJT5O,Kendrick Lamar,To Pimp A Butterfly,2015-03-16,16
Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,ScHoolboy Q,Oxymoron (Deluxe),2014-01-01,15
i,7wdzLe2Gsx1RGqbvYZHASz,Kendrick Lamar,i,2014-09-23,1
Heathens,6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,Heathens,2016-06-16,1
The Blacker The Berry,5Mtt6tZSZA9cXTHGSGpyh0,Kendrick Lamar,To Pimp A Butterfly,2015-03-16,16
Hell Of A Night,5DOR49R0fehoBmyNL8m4sN,ScHoolboy Q,Oxymoron (Deluxe),2014-01-01,15
My Old Man,6OzujJBXwYPxJ7KeqflLtr,Zac Brown Band,Welcome Home,2017-05-12,10
Blurred Lines,0n4bITAu0Y0nigrz3MFJMb,Robin Thicke,Blurred Lines (Deluxe),2013-01-01,14
I Gotta Feeling,4vp2J1l5RD4gMZwGFLfRAu,The Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01,15
Blow Your Mind (Mwah),7kJlTKjNZVT26iwiDUVhRm,Dua Lipa,Blow Your Mind (Mwah),2016-08-26,1
Dark Knight Dummo (Feat. Travis Scott),3YeJXuRSNS5FYwOsDu44kD,Trippie Redd,Dark Knight Dummo (Feat. Travis Scott),2017-12-05,1
Party Rock Anthem,0IkKz2J93C94Ei4BvDop7P,LMFAO,Sorry For Party Rocking,2011-01-01,10
Fiebre,0oFqlgK2LJ9eMlpGBCmRvf,Ricky Martin,Fiebre,2018-02-23,2
Liberace,6PA7qtmkoYq96e9Txqe9BC,Farruko,Liberace,2016-07-01,1
Perplexing Pegasus - From SR3MM,1ung2kajpw24AaHjBtPY3j,Rae Sremmurd,SR3MM,2018-05-04,27
Si Te Busco - Remix,39CbQPlgVUXzbGGmquxgEZ,Lary Over,Si Te Busco (Remix),2017-09-29,1
Powerglide (feat. Juicy J) - From SR3MM,1BuZAIO8WZpavWVbbq3Lci,Rae Sremmurd,SR3MM,2018-05-04,27
Sativa,2pg2TiYo9Rb8KeB5JjP7jS,Jhene Aiko,Trip,2017-09-22,22
Diabla - Official Remix,2OxUtaKYeahAGNaBiahXtR,Farruko,Diabla (Official Remix),2017-02-25,1
This Is America,0b9oOr2ZgvyQu88wzixux9,Childish Gambino,This Is America,2018-05-06,1
Solar Eclipse,0Jr4zQh5i3vrKFEcXrhhxl,YoungBoy Never Broke Again,Until Death Call My Name Reloaded,2018-06-29,20
Quiéreme - Remix,782JmkLy6uVD8MW0EJrih9,Jacob Forever,Quiéreme (Remix),2018-01-19,1
"Huntin', Fishin' And Lovin' Every Day",0dbzWSYpMcRtwjI1S7Pkql,Luke Bryan,Kill The Lights (Deluxe),2015-08-07,16
Somethin' I'm Good At,6DRsEO5yuEGBF87qpyMB4d,Brett Eldredge,Brett Eldredge,2017-08-04,12
Go Flex,5yuShbu70mtHXY0yLzCQLQ,Post Malone,Stoney (Deluxe),2016-12-09,18
Hasta Que Se Seque el Malecón - Remix,6sMPwcpYtxm1mlgYbp1B0t,Jacob Forever,Invicto,2017-02-06,16
Most People Are Good,79LAFAkR1ATb4iIQvZuCL0,Luke Bryan,What Makes You Country,2017-12-08,15
Strip That Down,4Ro98RCK90oHqqSZUnTFq5,Liam Payne,Strip That Down,2017-05-18,1
Move,6qoH2pKeEibNUG1pnJIjmZ,Luke Bryan,Kill The Lights (Deluxe),2015-08-07,16
The Long Way,5vuMtXS5kQ7F0o9V9rG1dG,Brett Eldredge,Brett Eldredge,2017-08-04,12
Duro y Suave,31M5m42C3EGlbydf9XB5to,Leslie Grace,Duro y Suave,2018-01-19,1
Lemon - Drake Remix,739vCwA3EpBSkk3uDsI2wB,N.E.R.D,Lemon (Drake Remix),2018-03-18,1
Who Do You Love?,1uDjaezEbalGyGnuH80zDK,YG,My Krazy Life (Deluxe),2014-01-01,17
Light It Up,5w3NgfV8v1nNZFLUBlGHIL,Luke Bryan,What Makes You Country,2017-12-08,15
Nowadays (feat. Landon Cube),689uBlyIufk2LUhAwjny4w,Lil Skies,Nowadays (feat. Landon Cube),2017-12-20,1
Candy Paint,32lItqlMi4LBhb4k0BaSaC,Post Malone,beerbongs & bentleys,2018-04-27,18
Love Myself,36phXHOKx8rO7CMp2vNX4x,Hailee Steinfeld,HAIZ,2016-02-26,5
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Stoney (Deluxe),2016-12-09,18
Hey DJ,1XgpK29CGGjZnxPYkiRbh4,CNCO,CNCO,2018-04-06,14
Drink A Beer,1PoGWZbJPGmViVi7CYbDUK,Luke Bryan,Crash My Party,2013-01-01,13
Sign of the Times,5Ohxk2dO5COHF1krpoPigN,Harry Styles,Harry Styles,2017-05-12,10
Mi Medicina,0CrcWtJQB7bQE6S1yEbxnP,CNCO,CNCO,2018-04-06,14
M.I.L.F. $,3osQ5lSSqZb8HWRozdbVPw,Fergie,Double Dutchess,2017-09-22,13
Speak Life,7FO6QgfJRKtEwZiYO0dIO9,TobyMac,Eye On It (Deluxe Edition),2012-01-01,18
O Come to the Altar,1lEk3U3MzbDeL5MNHkE9JU,Elevation Worship,Here As In Heaven,2016-02-05,13
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",2018-02-16,1
LUST.,06FCvd7rrRcF3DdvWH5Isp,Kendrick Lamar,DAMN.,2017-04-14,14
DNA.,6HZILIRieu8S0iqY8kIKhj,Kendrick Lamar,DAMN.,2017-04-14,14
GOD.,5p3NP9mQblDsVJLdfNZJ3I,Kendrick Lamar,DAMN.,2017-04-14,14
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,All Your Fault: Pt. 2,2017-08-11,6
FEAR.,23luOrEVHMfoX0AhfbQuS6,Kendrick Lamar,DAMN.,2017-04-14,14
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,DAMN.,2017-04-14,14
BLOOD.,1n4jwRVXdkK2U34nBDUKKT,Kendrick Lamar,DAMN.,2017-04-14,14
FEEL.,2LTlO3NuNVN70lp2ZbVswF,Kendrick Lamar,DAMN.,2017-04-14,14
XXX. FEAT. U2.,4iYRa2btalAzPZoSYfROqF,Kendrick Lamar,DAMN.,2017-04-14,14
ELEMENT.,1EaKU4dMbesXXd3BrLCtYG,Kendrick Lamar,DAMN.,2017-04-14,14
LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,Kendrick Lamar,DAMN.,2017-04-14,14
YAH.,4BHSjbYylfOH5WAGusDyni,Kendrick Lamar,DAMN.,2017-04-14,14
DUCKWORTH.,0y9uTzK9cNKSAEHnpeRG8C,Kendrick Lamar,DAMN.,2017-04-14,14
LOYALTY. FEAT. RIHANNA.,6SwRhMLwNqEi6alNPVG00n,Kendrick Lamar,DAMN.,2017-04-14,14
PRIDE.,6IZvVAP7VPPnsGX6bvgkqg,Kendrick Lamar,DAMN.,2017-04-14,14
In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,Shawn Mendes,Shawn Mendes,2018-05-25,14
I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,Clean Bandit,I Miss You (feat. Julia Michaels),2017-10-26,1
At My Best (feat. Hailee Steinfeld),77lGafvlU68CeHgB2pkHC9,Machine Gun Kelly,bloom,2017-05-12,13
ILYSB,2btKtacOXuMtC9WjcNRvAA,LANY,LANY,2017-06-30,16
A Little Party Never Killed Nobody (All We Got),1mz9ZrRYu3EPVg9ZHFtjjf,Various Artists,Music From Baz Luhrmann's Film The Great Gatsby (Deluxe Edition),2013-01-01,21
Never Enough,0Gl5s8IhMmQE5YQwM8Qx1J,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08,11
Eres,6Syi9hj45fiEW2UtYIZbJ9,Christian Nodal,Me Dejé Llevar,2017-08-25,13
Howlin' For You,0grFc6klR3hxoHLcgCYsF4,The Black Keys,Brothers,2010-05-18,15
goosebumps,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,14
Fever,4MzGM692jKGkNSQ7qzeTaJ,The Black Keys,Fever,2014-03-24,1
Me Dejé Llevar,3paOSlqrFcMhdGDZ5513AJ,Christian Nodal,Me Dejé Llevar,2017-08-25,13
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,Criminal,2017-09-01,1
Angel,2qJkesdHu9sMMVFgkRkqhQ,Theory of a Deadman,Savages,2014-07-08,13
Gold On The Ceiling,5lN1EH25gdiqT1SFALMAq1,The Black Keys,El Camino,2011-12-06,11
Probablemente,4prmUBle7TtAeeUgCnsc3Z,Christian Nodal,Me Dejé Llevar,2017-08-25,13
Bank Account,2fQrGHiQOvpL9UgPvtYy6G,21 Savage,Issa Album,2017-09-23,14
Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,21 Savage,Without Warning,2017-10-30,10
Te Fallé,2UDoZZSrs3NxlmvFZbffr4,Christian Nodal,Me Dejé Llevar,2017-08-25,13
Tighten Up,2MVwrvjmcdt4MsYYLCYMt8,The Black Keys,Brothers,2010-05-18,15
Adiós Amor,63bmZnBN1CiJ9sA4qTEe8y,Christian Nodal,Me Dejé Llevar,2017-08-25,13
Yo No Sé Mañana,427ArgeTbfOHViKymfB5gy,Christian Nodal,Me Dejé Llevar,2017-08-25,13
Rubbin Off The Paint,1QRJb5VY3sIkCKcTuIKCrk,YBN Nahmir,Rubbin Off The Paint,2018-01-26,1
Happy Happy,1CdM0jOwHOvO1kREj87vQf,Nacho,La Criatura,2018-05-11,8
Pineapple,2RXzzOxmBlffT81fjwBSVh,Karol G,Pineapple,2018-03-02,1
Romance,4MHxbXOG92XVn2IARPpjSl,Nacho,La Criatura,2018-05-11,8
Five More Minutes,66IULVOTImQG2u0cJ3Ls04,Scotty McCreery,Five More Minutes,2017-05-05,1
Calentando la Habana,6P367zPr9yTCQ0LIgT9foX,El Chacal,Calentando la Habana,2017-09-01,1
Lava,0wqeaDeaKq14IuQESPqBEJ,Kuana Torres Kahele,"Lava (From ""Lava"")",2015-01-01,1
I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P,Mike Posner,"At Night, Alone.",2016-05-06,18
Me Niegas,1o6DL0otgQMsUebziSC7kA,Baby Rasta & Gringo,Los Cotizados,2015-08-21,14
Lydia,7yoBjKO6cCnK3zV8gr1k4e,Highly Suspect,Mister Asylum,2015-07-17,10
My Name Is Human,1euszbbvkUzQzIhZUWFmXG,Highly Suspect,The Boy Who Died Wolf,2016-11-18,11
Silence (feat. Khalid),4QZyB1MYPJM9Hdl87rWMGG,Various Artists,"NOW That's What I Call Music, Vol. 65",2018-02-02,22
Dare (La La La),0YoUczWJPqphLvxnTXG00N,Shakira,Shakira. (Deluxe Version),2014-12-23,15
Sweatshirt,0B3LaidsxjnBTUlKgKQQe5,Jacob Sartorius,Sweatshirt,2016-05-03,1
From The D To The A (feat. Lil Yachty),2NyrXRn4tancYPW6JwtTl2,Tee Grizzley,From The D To The A (feat. Lil Yachty),2017-03-17,1
Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,14
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,14
Attention,5cF0dROlMOK5uNZtivgu50,Charlie Puth,Voicenotes,2018-05-11,13
Dreaming,6cMswWRv4lAU3mh5lclgCc,Smallpools,LOVETAP!,2015-03-16,14
Gassed Up,6JjEVlMkfHWMeYavkEYzNO,Nebu Kiniza,Gassed Up,2016-08-26,1
Icon,22nyEAEM29tcBRhukR089b,Jaden Smith,SYRE,2017-11-17,17
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,Sin Pijama,2018-04-20,1
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix / Radio Edit,6PUIzlqotEmPuBfjbwYWOB,Lana Del Rey,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),2013-02-01,1
Everyday,4EAV2cKiqKP5UPZmY6dejk,Logic,Bobby Tarantino II,2018-03-09,13
44 More,3e7Y6sfFlIdBMJhX7wpqVO,Logic,Bobby Tarantino II,2018-03-09,13
Rollin,3FDrI0FLKzrYQiWxPhqV2W,Calvin Harris,Rollin,2017-05-12,1
Tell Your Heart To Beat Again,4F6KXBE38OBGPZsryUih1x,Danny Gokey,Hope In Front of Me,2014-04-22,11
The River,1mSMwIW4ZK6DVl499FvDPv,Jordan Feliz,Beloved,2015-10-02,10
